epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,454.104,1.06783,0.82671,1.41307,0.98801,0.95139,0.98961,0.73454,0.95302,0.43595,1.15459,0.00067,0.00067,0.00067
52,499.206,1.07402,0.82216,1.39947,0.97113,0.98994,0.99146,0.76812,0.87103,0.40184,1.12128,0.0006634,0.0006634,0.0006634
53,542.845,1.04236,0.78964,1.39552,0.96681,0.97643,0.99203,0.74048,0.94231,0.40929,1.15446,0.0006568,0.0006568,0.0006568
54,586.555,1.05166,0.80577,1.39504,0.96222,0.94898,0.98262,0.71302,1.00587,0.46012,1.19903,0.0006502,0.0006502,0.0006502
55,630.262,1.02434,0.80265,1.38685,0.95822,0.98715,0.99078,0.71441,1.02425,0.41906,1.20572,0.0006436,0.0006436,0.0006436
56,673.856,1.03251,0.79848,1.37905,0.96951,0.96991,0.99061,0.74883,0.95046,0.40873,1.16341,0.000637,0.000637,0.000637
57,718.053,1.05121,0.78567,1.39817,0.94892,0.97836,0.98932,0.75373,0.87537,0.41234,1.12299,0.0006304,0.0006304,0.0006304
58,761.542,1.05434,0.79169,1.39404,0.98383,0.98593,0.99214,0.79345,0.8077,0.39036,1.09647,0.0006238,0.0006238,0.0006238
59,807.12,1.106,0.83698,1.44105,0.96606,0.97968,0.99193,0.72455,0.99492,0.43138,1.1831,0.0006172,0.0006172,0.0006172
60,850.883,1.07186,0.81786,1.41287,0.97652,0.96471,0.99193,0.75255,0.87388,0.39186,1.1285,0.0006106,0.0006106,0.0006106
61,894.93,1.0755,0.82887,1.4135,0.97849,0.96395,0.99131,0.76692,0.86209,0.41103,1.11088,0.000604,0.000604,0.000604
62,939.386,1.10197,0.84431,1.41174,0.94168,0.93349,0.98036,0.7389,0.8986,0.45437,1.1085,0.0005974,0.0005974,0.0005974
63,984.109,1.09993,0.83575,1.41241,0.99254,0.95552,0.99165,0.7357,1.00291,0.41755,1.15661,0.0005908,0.0005908,0.0005908
64,1029.27,1.10901,0.83802,1.42509,0.97186,0.97179,0.99328,0.7569,0.92536,0.39688,1.13784,0.0005842,0.0005842,0.0005842
65,1073.98,1.08435,0.80928,1.41408,0.95878,0.96812,0.98647,0.78806,0.79781,0.40902,1.08902,0.0005776,0.0005776,0.0005776
66,1118.91,1.11988,0.8682,1.44174,0.95477,0.97088,0.99155,0.7576,0.8904,0.40248,1.12584,0.000571,0.000571,0.000571
67,1163.58,1.08435,0.84716,1.40346,0.97045,0.98501,0.99377,0.77534,0.86342,0.38564,1.10183,0.0005644,0.0005644,0.0005644
68,1208.71,1.11489,0.87762,1.42152,0.95159,0.96243,0.99055,0.76781,0.86073,0.40918,1.11608,0.0005578,0.0005578,0.0005578
69,1253.83,1.10599,0.8433,1.43095,0.9412,0.98676,0.99126,0.7534,0.92023,0.40032,1.13244,0.0005512,0.0005512,0.0005512
70,1298.59,1.10746,0.85214,1.4245,0.94495,0.96154,0.98778,0.74744,0.92765,0.44715,1.13647,0.0005446,0.0005446,0.0005446
71,1343.55,1.08484,0.84494,1.41028,0.91733,0.96928,0.98119,0.75232,0.89154,0.45773,1.12705,0.000538,0.000538,0.000538
72,1388.45,1.11177,0.83659,1.42849,0.98208,0.99111,0.99129,0.76979,0.9044,0.4044,1.13151,0.0005314,0.0005314,0.0005314
73,1433.33,1.09061,0.83523,1.41008,0.9758,0.97489,0.99164,0.77705,0.8654,0.39571,1.11714,0.0005248,0.0005248,0.0005248
74,1478.13,1.10318,0.82595,1.42594,0.95518,0.98223,0.98414,0.79782,0.73265,0.39309,1.06162,0.0005182,0.0005182,0.0005182
75,1524.26,1.05706,0.84126,1.40069,0.96234,0.94831,0.98746,0.7991,0.75939,0.38448,1.0739,0.0005116,0.0005116,0.0005116
76,1570.84,1.0763,0.80497,1.39147,0.95359,0.99492,0.99335,0.78991,0.82797,0.37129,1.09674,0.000505,0.000505,0.000505
77,1615.53,1.06911,0.82058,1.40349,0.95393,0.98236,0.99284,0.75851,0.93165,0.40065,1.14023,0.0004984,0.0004984,0.0004984
78,1660.58,1.05473,0.8059,1.38183,0.98568,0.9649,0.99374,0.75667,0.90482,0.39572,1.14095,0.0004918,0.0004918,0.0004918
79,1705.55,1.06374,0.79065,1.39443,0.9507,0.9797,0.99191,0.76752,0.91381,0.40839,1.13043,0.0004852,0.0004852,0.0004852
80,1750.34,1.07839,0.82759,1.42418,0.9853,0.98115,0.99444,0.78109,0.86257,0.3836,1.11345,0.0004786,0.0004786,0.0004786
81,1795.06,1.04779,0.78985,1.38011,0.98081,0.95202,0.99031,0.78097,0.80754,0.40626,1.10268,0.000472,0.000472,0.000472
82,1840.05,1.06815,0.77643,1.39047,0.98962,0.97355,0.99451,0.80286,0.75385,0.3604,1.0742,0.0004654,0.0004654,0.0004654
83,1886.2,1.06806,0.79765,1.39698,0.99593,0.98076,0.99446,0.80031,0.77108,0.35273,1.08059,0.0004588,0.0004588,0.0004588
84,1930.45,1.07399,0.80365,1.40151,1,0.97486,0.99399,0.80436,0.78107,0.36376,1.09265,0.0004522,0.0004522,0.0004522
85,1975.53,1.05391,0.79315,1.39222,0.98064,0.9878,0.99412,0.79279,0.8243,0.35173,1.10021,0.0004456,0.0004456,0.0004456
86,2019.52,1.05121,0.77573,1.38168,0.97976,0.98183,0.99381,0.7526,0.94533,0.3755,1.14356,0.000439,0.000439,0.000439
87,2063.8,1.05025,0.78957,1.38719,0.99063,0.97,0.99344,0.79289,0.80685,0.35324,1.07195,0.0004324,0.0004324,0.0004324
88,2107.45,1.02406,0.78867,1.37028,0.97667,0.99492,0.99286,0.80655,0.76143,0.33358,1.06953,0.0004258,0.0004258,0.0004258
89,2153.25,1.00702,0.78118,1.35722,0.96328,0.97126,0.99189,0.80158,0.78347,0.36547,1.07231,0.0004192,0.0004192,0.0004192
90,2197.4,1.05121,0.79514,1.38562,0.96999,0.96839,0.99256,0.79264,0.83983,0.36786,1.09786,0.0004126,0.0004126,0.0004126
91,2241.66,1.02197,0.77334,1.3542,0.97784,0.99501,0.99421,0.81567,0.77716,0.33731,1.08763,0.000406,0.000406,0.000406
